station;Date;Pression-mer;varia-pres-3h;Direc_ vent_M_10min;Vitesse_vent_moyen 10 mn;Température;Humidité;Visibilité horizontale;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Pression station;Variation de pression en 24 heures;Température minimale sur 12 heures;Température maximale sur 12 heures;Température minimale du sol sur 12 heures;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Précipitations_ 6hrs;Précipitations_12hrs;Précipitations24hrs;Nébulosité couche nuageuse 1;Coordonnees;lieu
7643;2017-03-14 19:00:00+01:00;102840;30;240;2,4;288,25;67;19730;90;0;;102740;420;279.350000;294.150000;279.550000;3.700000;4.600000;-10;0.000000;0;0;7;43.577, 3.963167;MONTPELLIER
7643;2017-03-19 22:00:00+01:00;101440;110;340;2,5;288,85;67;30000;0;0;;101340;-450;;;286.450000;3.400000;3.500000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-03-20 04:00:00+01:00;101410;-40;320;1,7;284,35;78;30000;40;0;;101310;-270;;;283.350000;2.000000;3.900000;-10;0.000000;0;0;3;43.577, 3.963167;MONTPELLIER
7643;2017-03-20 19:00:00+01:00;101280;0;190;4,1;287,65;78;40000;10;0;;101180;-50;283.350000;292.550000;283.150000;6.400000;6.900000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-03-21 10:00:00+01:00;101410;40;300;1,2;288,25;55;60000;90;7;1250;101310;-100;;;281.350000;2.000000;3.600000;-10;0.000000;0;0;3;43.577, 3.963167;MONTPELLIER
7643;2017-03-24 19:00:00+01:00;101620;-10;20;5;285,35;93;20000;100;5;2250;101520;420;284.450000;286.350000;285.150000;7.400000;7.400000;-10;19.400000;41,8;42,6;5;43.577, 3.963167;MONTPELLIER
7643;2017-03-25 19:00:00+01:00;101790;10;100;6,8;285,45;79;43210;100;8;800;101690;170;284.350000;287.050000;283.950000;9.200000;10.800000;-10;0.000000;14,4;14,4;6;43.577, 3.963167;MONTPELLIER
7643;2017-03-28 05:00:00+02:00;102480;-10;350;1,7;281,45;95;5070;10;1;3600;102380;490;;;283.850000;2.100000;2.800000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-02-18 13:00:00+01:00;102290;-50;80;2,8;288,25;44;58130;25;1;1250;102190;-400;;;281.550000;4.300000;6.500000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-02-19 13:00:00+01:00;102650;-100;150;2,3;287,55;60;19620;0;0;;102550;360;;;280.950000;3.000000;3.400000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-20 04:00:00+01:00;102420;-60;360;0,5;279,55;77;20000;0;0;;102320;-90;;;281.650000;1.000000;3.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-21 10:00:00+01:00;102380;50;320;3;286,95;63;48110;0;0;;102280;-170;;;281.450000;4.700000;4.700000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-22 13:00:00+01:00;102100;-80;150;2,7;290,15;51;19440;60;0;8000;102000;-110;;;282.250000;3.900000;3.900000;-10;0.000000;0;0;5;43.577, 3.963167;MONTPELLIER
7643;2017-02-26 10:00:00+01:00;102220;80;60;2,1;281,75;59;50000;10;0;8000;102120;190;;;279.950000;3.300000;3.300000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-02-27 04:00:00+01:00;101550;-110;20;3,2;280,45;97;1100;100;8;80;101450;-600;;;281.950000;4.400000;4.500000;-10;0.000000;0;0;8;43.577, 3.963167;MONTPELLIER
7643;2017-03-02 07:00:00+01:00;101880;20;10;2,3;278,45;93;15450;90;3;;101780;120;278.050000;285.650000;281.550000;3.100000;3.100000;-10;0.200000;0,2;0,2;3;43.577, 3.963167;MONTPELLIER
7643;2017-03-05 01:00:00+01:00;101090;150;270;4,6;279,45;77;60000;;0;;100990;790;;;281.750000;6.500000;6.600000;-10;0.000000;0;14,8;;43.577, 3.963167;MONTPELLIER
7643;2017-03-06 04:00:00+01:00;101470;-100;250;5,7;283,25;63;15000;60;4;2940;101370;340;;;282.350000;7.800000;7.800000;-10;0.000000;0;0,2;4;43.577, 3.963167;MONTPELLIER
7643;2017-03-08 22:00:00+01:00;102510;110;320;5,4;287,85;57;30000;75;0;8000;102410;310;;;284.950000;7.900000;11.300000;-10;0.000000;0;0;6;43.577, 3.963167;MONTPELLIER
7643;2017-04-26 05:00:00+02:00;100650;20;350;2,4;284,75;93;59540;100;7;450;100550;-760;;;286.650000;3.300000;5.600000;-10;4.600000;21,6;21,6;7;43.577, 3.963167;MONTPELLIER
7643;2017-04-26 14:00:00+02:00;100900;60;250;2;288,65;64;21460;100;8;1750;100800;-220;;;286.450000;3.200000;5.400000;-10;-0.100000;2;21,6;1;43.577, 3.963167;MONTPELLIER
